est,se,char,name
2.933333333,0.274582165,assertive,James
2.017138776,0.105282141,assertive,Misty
2.142857143,0.232064285,assertive,Sammie
2.866666667,0.274582165,assertive,Sandra
1.227272727,0.227181808,foreign,James
1.580823586,0.109886521,foreign,Misty
1.380952381,0.232527993,foreign,Sammie
1.428571429,0.232527993,foreign,Sandra
3.071428571,0.267108798,intelligent,James
2.217500399,0.097524827,intelligent,Misty
2.375,0.249857401,intelligent,Sammie
3,0.301339364,intelligent,Sandra
2.846153846,0.271619312,honest,James
2.427232671,0.095484946,honest,Misty
2.714285714,0.213708932,honest,Sammie
2.875,0.24483434,honest,Sandra
3.666666667,0.216447647,competent,James
3.583333333,0.202468234,competent,Sandra
3.545454545,0.213568078,hardworking,James
3.461538462,0.288554619,professional,Sandra
3.434782609,0.216938079,professional,James
3.25,0.354162591,hardworking,Sandra
2.72,0.198377545,competent,Sammie
2.404445335,0.09976999,hardworking,Misty
2.33674584,0.097419848,competent,Misty
2.24,0.208079695,professional,Sammie
2,0.289172545,hardworking,Sammie
1.924945444,0.100405381,professional,Misty
2.736842105,0.232409305,compassionate,James
2.746505235,0.098746738,compassionate,Misty
2.857142857,0.221065344,compassionate,Sammie
2.882352941,0.245700393,compassionate,Sandra
3.454545455,0.314169346,likable,James
2.911017178,0.101922002,likable,Misty
3.578947368,0.239047029,likable,Sammie
3.285714286,0.227379079,likable,Sandra
2.869565217,0.216934582,warm,James
2.844849096,0.095194783,warm,Misty
3.238095238,0.227029901,warm,Sammie
3.375,0.212367027,warm,Sandra
3.65,0.243601933,strong,James
2.129664416,0.106133889,strong,Misty
2.3,0.243601933,strong,Sammie
2.9,0.243601933,strong,Sandra
2.066666667,0.288546693,aggressive,James
2.177785664,0.117842904,aggressive,Misty
1.684210526,0.256380465,aggressive,Sammie
1.714285714,0.298674203,aggressive,Sandra
4.625,0.240793408,traditional,James
1.954447983,0.115974899,traditional,Misty
2.875,0.294910492,traditional,Sammie
3.59375,0.208533208,traditional,Sandra
1.421052632,0.231650077,violent,James
1.515851073,0.09552327,violent,Misty
2.041666667,0.206112167,violent,Sammie
1.769230769,0.280051288,violent,Sandra
3.172413793,0.19217582,a Republican,James
3.000873638,0.082921463,a Republican,Misty
2.913043478,0.215791247,a Republican,Sammie
2.80952381,0.225833359,a Republican,Sandra
2.103448276,0.186996203,Hispanic,James
1.725586534,0.079483188,Hispanic,Misty
2.03030303,0.175297135,Hispanic,Sammie
2.11627907,0.15356688,Hispanic,Sandra
3.5,0.187597494,working class,James
3.278818804,0.068390436,working class,Misty
3.088235294,0.164049249,working class,Sammie
3.25,0.14420734,working class,Sandra
3,0.25167851,upper class,James
2.568525189,0.072034836,upper class,Misty
2.363636364,0.17524642,upper class,Sammie
3.071428571,0.155339349,upper class,Sandra
3.024390244,0.155827984,a Democrat,James
3.095968822,0.066987737,a Democrat,Misty
2.971428571,0.168656607,a Democrat,Sammie
3.090909091,0.212728678,a Democrat,Sandra
3.682926829,0.139817055,middle class,James
2.9150709,0.063343265,middle class,Misty
2.892857143,0.169189366,middle class,Sammie
3.581395349,0.136526781,middle class,Sandra
3.722222222,0.249206259,white,James
4.000615281,0.078169448,white,Misty
3.409090909,0.225415543,white,Sammie
3.666666667,0.18405102,white,Sandra
2.486486486,0.175102756,African American,James
2.086859923,0.083456287,African American,Misty
2.6,0.213021697,African American,Sammie
2.666666667,0.217414359,African American,Sandra
